510	-5714757.945	-2259113.871	3080970.547	3229.884248	1110.681533	6806.315281
515	-5698520.952	-2253525.843	3114954.562	3264.89601	1124.523701	6787.256083
520	-5682109.153	-2247868.692	3148842.761	3299.806509	1138.33093	6767.988724
525	-5665523.058	-2242142.593	3182634.103	3334.614674	1152.102796	6748.513813
530	-5648763.179	-2236347.724	3216327.554	3369.319439	1165.838878	6728.831964
535	-5631830.037	-2230484.265	3249922.079	3403.919739	1179.538752	6708.9438
540	-5614724.158	-2224552.397	3283416.649	3438.414514	1193.201999	6688.849948
545	-5597446.07	-2218552.306	3316810.237	3472.802707	1206.8282	6668.551042
550	-5579996.31	-2212484.178	3350101.819	3507.083263	1220.416935	6648.047723
555	-5562375.418	-2206348.2	3383290.374	3541.255132	1233.96779	6627.340638
560	-5544583.941	-2200144.564	3416374.887	3575.317267	1247.480347	6606.430441
565	-5526622.43	-2193873.461	3449354.341	3609.268625	1260.954192	6585.31779
570	-5508491.442	-2187535.087	3482227.728	3643.108167	1274.388911	6564.003352
575	-5490191.537	-2181129.638	3514994.04	3676.834855	1287.784094	6542.4878
580	-5471723.283	-2174657.313	3547652.272	3710.447658	1301.139328	6520.771813
585	-5453087.252	-2168118.312	3580201.425	3743.945546	1314.454205	6498.856074
590	-5434284.021	-2161512.839	3612640.501	3777.327495	1327.728316	6476.741276
595	-5415314.172	-2154841.097	3644968.507	3810.592485	1340.961256	6454.428116
600	-5396178.292	-2148103.295	3677184.453	3843.739496	1354.152618	6431.917296
605	-5376876.975	-2141299.641	3709287.352	3876.767517	1367.301999	6409.209527
610	-5357410.817	-2134430.346	3741276.221	3909.675537	1380.408996	6386.305522
615	-5337780.421	-2127495.623	3773150.081	3942.462552	1393.473208	6363.206005
620	-5317986.395	-2120495.686	3804907.956	3975.127558	1406.494237	6339.911701
625	-5298029.351	-2113430.753	3836548.875	4007.66956	1419.471683	6316.423344
630	-5277909.906	-2106301.042	3868071.868	4040.087563	1432.405151	6292.741672
635	-5257628.683	-2099106.775	3899475.971	4072.380577	1445.294246	6268.867431
640	-5237186.31	-2091848.174	3930760.222	4104.547616	1458.138573	6244.801371
645	-5216583.419	-2084525.465	3961923.666	4136.587699	1470.937742	6220.544248
650	-5195820.646	-2077138.873	3992965.348	4168.499848	1483.691361	6196.096824
655	-5174898.635	-2069688.628	4023884.318	4200.283088	1496.399042	6171.459868
660	-5153818.032	-2062174.96	4054679.632	4231.936451	1509.060398	6146.634153
665	-5132579.489	-2054598.102	4085350.346	4263.45897	1521.675043	6121.620459
670	-5111183.662	-2046958.288	4115895.524	4294.849685	1534.242594	6096.419571
675	-5089631.213	-2039255.755	4146314.231	4326.107638	1546.762667	6071.03228
680	-5067922.809	-2031490.741	4176605.538	4357.231876	1559.234882	6045.459382
685	-5046059.119	-2023663.486	4206768.517	4388.22145	1571.658859	6019.701681
690	-5024040.82	-2015774.233	4236802.248	4419.075417	1584.034222	5993.759982
695	-5001868.592	-2007823.226	4266705.812	4449.792837	1596.360594	5967.6351
700	-4979543.121	-1999810.71	4296478.295	4480.372775	1608.637602	5941.327854
705	-4957065.095	-1991736.933	4326118.788	4510.8143	1620.864872	5914.839067
710	-4934435.21	-1983602.144	4355626.384	4541.116486	1633.042033	5888.169568
715	-4911654.164	-1975406.597	4385000.184	4571.278413	1645.168716	5861.320192
720	-4888722.661	-1967150.542	4414239.288	4601.299164	1657.244554	5834.291779
725	-4865641.409	-1958834.236	4443342.804	4631.177828	1669.26918	5807.085174
730	-4842411.121	-1950457.936	4472309.844	4660.913498	1681.242229	5779.701226
735	-4819032.514	-1942021.901	4501139.523	4690.505272	1693.163339	5752.140791
740	-4795506.31	-1933526.39	4529830.959	4719.952253	1705.032148	5724.404728
745	-4771833.234	-1924971.667	4558383.279	4749.253548	1716.848296	5696.493903
750	-4748014.019	-1916357.995	4586795.609	4778.408271	1728.611426	5668.409186
755	-4724049.397	-1907685.642	4615067.082	4807.415538	1740.321179	5640.151452
760	-4699940.11	-1898954.873	4643196.836	4836.274472	1751.977202	5611.721581
765	-4675686.901	-1890165.96	4671184.012	4864.9842	1763.579141	5583.12046
770	-4651290.519	-1881319.172	4699027.757	4893.543852	1775.126644	5554.348977
775	-4626751.714	-1872414.785	4726727.22	4921.952567	1786.61936	5525.408029
780	-4602071.246	-1863453.071	4754281.556	4950.209485	1798.056942	5496.298517
